DESCRIPTION;Classement des destinations par nb de victoires (top1) en utilisant calculateResults, en bouclant rando/faune/inso/tour/secu (trek=0, bain=0 fixés).;Scénarios=7776;Destinations=56
Destination;WinsTop1
PHILIPPINES (PHILIPPINES);957
RAJA AMPAT (INDONÉSIE);643
Yucatán (MEXIQUE);599
hawaï (ETATS-UNIS);584
Polynésie (Polynésie);473
BALI (BALI);367
KOMODO / FLORES OUEST (INDONÉSIE);362
MAURICE (MAURICE);314
BAHAMAS (BAHAMAS);249
Thaïlande (Thaïlande);210
Papouasie Nouvelle-Guinée (PAPOUASIE-NOUVELLE-Guinée);206
ZANZIBAR (ZANZIBAR);184
MALDIVES (LES MALDIVES);179
Nouvelle-Zélande (Nouvelle-Zélande);164
SOCOTRA (YEMEN);160
Indonésie (Indonésie);159
NORD AUSTRALIEN (AUSTRALIE);155
COLOMBIE (COLOMBIE);154
GRANDE RIO & COSTA VERDE (BRÉSIL);145
NORDESTE (BRÉSIL);140
MAJORQUE (ESPAGNE);122
Nouvelle-Calédonie (Nouvelle-Calédonie);97
FIDJI (FIDJI);86
LOFOTEN (Norvège);83
CALIFORNIE (ETATS-UNIS);82
IBIZA (ESPAGNE);77
VENEZUELA (VENEZUELA);75
îles caïmans (îles caïmans);73
AUSTRALIE (AUSTRALIE);71
LOMBOK (INDONÉSIE);69
Turks and Caicos (Turks and Caicos);67
EST AUSTRALIEN (AUSTRALIE);54
OMAN (OMAN);51
République dominicaine (République dominicaine);47
(vide);36
Côte d'Azur (FRANCE);30
Cap-Vert (Cap‑Vert);29
ANTIGUA (ANTIGUA);26
PORTO RICO (PORTO RICO);24
BORA BORA (POLYNÉSIE FRANÇAISE);19
ZANTE (GRECE);16
PATAGONIE (CHILI);16
Îles Vierges britanniques (Îles Vierges britanniques);16
TENERIFE (ESPAGNE);14
SANTORIN (#N/A);12
ALASKA (ETATS-UNIS);12
MOZAMBIQUE (MOZAMBIQUE);11
Jamaïque (Jamaïque);10
TANZANIE (TANZANIE);9
GUADELOUPE (FRANCE);9
Norvège (Norvège);7
GRANDE CANARIE (ESPAGNE);6
égypte (égypte);5
FLORIDE (ETATS-UNIS);5
Îles Féroé (LES Îles Féroé);5
EL HIERRO (ESPAGNE);1
