DESCRIPTION;Classement des destinations par nb de victoires (top1) en utilisant calculateResults, en bouclant rando/faune/inso/tour/secu (trek=0, bain=0 fixés).;Scénarios=7776;Destinations=78
Destination;WinsTop1
PHILIPPINES (PHILIPPINES);768
COLOMBIE (COLOMBIE);531
Indonésie (Indonésie);525
RAJA AMPAT (INDONÉSIE);507
SOCOTRA (YEMEN);466
LANZAROTE (ESPAGNE);445
Yucatán (MEXIQUE);290
LOFOTEN (Norvège);285
KENYA (KENYA);280
ÎLES COOK (ÎLES COOK);270
hawaï (ETATS-UNIS);222
Nouvelle-Calédonie (Nouvelle-Calédonie);206
Kamchatka (RUSSIE);199
BORA BORA (POLYNÉSIE FRANÇAISE);184
TANZANIE (TANZANIE);176
EST AUSTRALIEN (AUSTRALIE);164
NORD AUSTRALIEN (AUSTRALIE);153
LOMBOK (INDONÉSIE);146
PATAGONIE (CHILI);134
EL HIERRO (ESPAGNE);123
CHILI (CHILI);107
Madère (PORTUGAL);104
GROENLAND (GROENLAND);94
Polynésie (Polynésie);90
VENEZUELA (VENEZUELA);90
équateur (équateur);83
Nouvelle-Zélande (Nouvelle-Zélande);78
KOMODO / FLORES OUEST (INDONÉSIE);65
MAURICE (MAURICE);58
LA PALMA (ESPAGNE);58
COSTA RICA (COSTA RICA);58
GRANDE RIO & COSTA VERDE (BRÉSIL);52
Thaïlande (Thaïlande);51
Pérou (Pérou);50
OUEST CANADIEN (CANADA);44
ALASKA (ETATS-UNIS);42
IBIZA (ESPAGNE);38
(vide);36
NORDESTE (BRÉSIL);34
AMORGOS (GRECE);32
AUSTRALIE (AUSTRALIE);28
Norvège (Norvège);24
PAPOUASIE OCCIDENTALE (Indonésie);23
PAKISTAN (PAKISTAN);23
SURINAME (SURINAME);22
JORDANIE (JORDANIE);22
ISLANDE (ISLANDE);19
TASMANIE (AUSTRALIE);17
Québec (CANADA);17
Turks and Caicos (Turks and Caicos);16
VANUATU (VANUATU);15
Géorgie (Géorgie);14
MAROC (MAROC);13
SRI LANKA (SRI LANKA);13
CALIFORNIE (ETATS-UNIS);13
GUYANA (GUYANA);13
NAMIBIE (NAMIBIE);13
ZANZIBAR (ZANZIBAR);12
PALAOS (PALAOS);11
Réunion (FRANCE);11
MALDIVES (LES MALDIVES);10
ZANTE (GRECE);10
Bornéo Indonésien (INDONÉSIE);10
GUADELOUPE (FRANCE);10
BAHAMAS (BAHAMAS);9
Monténégro (Monténégro);7
ANTARCTIQUE (ANTARCTIQUE);5
ARGENTINE (ARGENTINE);5
Slovénie (Slovénie);5
Ouest américain (ETATS-UNIS);5
BELIZE (BELIZE);4
SICILE (ITALIE);4
DOMINIQUE (LA DOMINIQUE);4
Brésil (Brésil);4
MINORQUE (ESPAGNE);2
MAJORQUE (ESPAGNE);2
MADAGASCAR (MADAGASCAR);2
Bornéo Malaisien (MALAISIE);1
