DESCRIPTION;Classement des destinations par nb de victoires (top1) en utilisant calculateResults (trek+rando+faune+bain)*secu.;Scénarios=7776;Destinations=91
Destination;WinsTop1
AFRIQUE DU SUD (undefined);707
NORDESTE (undefined);702
COSTA RICA (undefined);517
TANZANIE (undefined);434
LA REUNION (undefined);329
VENEZUELA (undefined);257
MADAGASCAR (undefined);241
BALI (undefined);238
PEROU (undefined);209
NAMIBIE (undefined);208
OUEST AUSTRALIEN (undefined);191
POLYNESIE (undefined);177
NOUVELLE CALÉDONIE (undefined);169
INDONESIE (undefined);169
PHILIPPINES (undefined);135
CALIFORNIE (undefined);131
RIVIERA MAYA (undefined);124
OUEST AMERICAIN (undefined);120
PAPOUASIE NOUVELLE GUINEE (undefined);114
PALAOS (undefined);113
KOMODO / FLORES OUEST (undefined);107
BRUNEI (undefined);102
ÎLES ANDAMAN & NICOBAR (undefined);98
SRI LANKA (undefined);98
CRETE (undefined);97
ALASKA (undefined);93
NICARAGUA (undefined);91
CORSE (undefined);87
EQUATEUR (undefined);84
RWANDA (undefined);80
NEPAL (undefined);72
TASMANIE (undefined);67
NORD AUSTRALIEN (undefined);64
INDE (undefined);64
LOFOTEN (undefined);63
HAWAI (undefined);62
THAILANDE (undefined);60
PALAWAN (undefined);57
PAPOUASIE OCCIDENTALE (undefined);56
AUSTRALIE (undefined);50
SUMATRA (undefined);47
EST AUSTRALIEN (undefined);45
LOMBOK (undefined);44
MEXIQUE (undefined);41
GROENLAND (undefined);38
BELIZE (undefined);37
VIETNAM (undefined);37
JORDANIE (undefined);37
(vide);36
BORNEO MALAISIEN (undefined);32
PATAGONIE (undefined);30
SEYCHELLES (undefined);30
CYCLADES (undefined);29
GEORGIE (undefined);28
NORVEGE (undefined);27
PAKISTAN (undefined);25
HAINAN (undefined);24
BORA BORA (undefined);22
TENERIFE (undefined);22
RAJA AMPAT (undefined);20
KIRGHIZISTAN (undefined);20
NOUVELLE ZELANDE (undefined);18
BIRMANIE (undefined);17
PANAMA (undefined);16
CALABRE (undefined);16
MINORQUE (undefined);13
ZIMBABWE (undefined);13
CROATIE (undefined);13
ARGENTINE (undefined);13
MAROC (undefined);13
BOTSWANA (undefined);10
TURQUIE (undefined);9
VANUATU (undefined);9
MALAISIE (undefined);9
KAMTCHATKA (undefined);9
BOLIVIE (undefined);9
QUEBEC (undefined);8
ACORES (undefined);7
DOLOMITES (undefined);7
MALDIVES (undefined);6
ILES GALAPAGOS (undefined);6
ÎLES COOK (undefined);6
COMORES (undefined);5
SAMOA (undefined);5
FIDJI (undefined);5
BAHAMAS (undefined);5
EGYPTE (undefined);5
ETHIOPIE (undefined);5
OUEST CANADIEN (undefined);5
MAURICE (undefined);4
OUGANDA (undefined);2
